Matricula,Nombre,Calificacion 1,Calificacion 2,Calificacion 3
16311,Pedro Laura  Martínez López,73.0,56.0,56.0
16890,Ana Pedro  Rodríguez Fernández,47.0,50.0,100.0
10663,Pedro Laura  Rodríguez Gómez,55.0,50.0,71.0
14242,Isabel Pedro  Martínez Pérez,57.0,45.0,41.0
18376,Pedro Ana  Martínez Gómez,57.0,69.0,94.0
17961,Isabel Pedro  González Martínez,81.0,93.0,95.0
16634,Isabel Juan  Gómez López,88.0,50.0,86.0
14969,Ana Lucia  González Rodríguez,100.0,69.0,77.0
17808,Ana Carlos  Pérez González,54.0,49.0,65.0
15866,Carlos María  Pérez Martínez,82.0,54.0,69.0
19558,Pedro María  López Pérez,68.0,62.0,45.0
13578,Andrés Luis  Rodríguez González,80.0,47.0,51.0
18268,Isabel Carlos  Fernández Fernández,83.0,82.0,87.0
12281,Ana Angel  Martínez Martínez,68.0,101.0,63.0
14617,María María  Fernández López,86.0,71.0,68.0
12289,Pedro Betsua  Fernández Martínez,66.0,44.0,72.0
11553,Carlos Laura  Fernández Fernández,55.0,67.0,60.0
14104,Carlos Ana  Gómez Gómez,57.0,64.0,83.0
18725,Pedro Laura  Rodríguez Gómez,84.0,54.0,71.0
19861,Laura Pedro  López Fernández,66.0,67.0,93.0
12407,María Lucia  Rodríguez Pérez,54.0,96.0,60.0
15081,Leticia Lucia  González Gómez,68.0,69.0,52.0
11618,Carlos Ana  Gómez López,72.0,40.0,73.0
11208,Ana Pedro  Gómez González,94.0,46.0,45.0
15409,Carlos Carlos  López Gómez,71.0,86.0,82.0
17735,Leticia Ana  López Rodríguez,71.0,82.0,97.0
19171,Leticia María  Martínez González,97.0,62.0,75.0
11649,Andrés Lucia  López Martínez,59.0,48.0,54.0
15796,Luis Ana  Pérez Pérez,55.0,81.0,70.0
17113,Pedro María  Gómez Martínez,54.0,60.0,50.0
15180,Ana Betsua  Gómez Gómez,54.0,74.0,64.0
13350,Isabel Luis  Martínez López,42.0,54.0,44.0
19052,Carlos Carlos  González López,100.0,64.0,61.0
17815,Isabel Luis  Rodríguez González,42.0,50.0,46.0
17253,Sofía Juan  Martínez Pérez,81.0,74.0,83.0
18541,Carlos Ana  Martínez González,45.0,81.0,44.0
14267,María Pedro  Rodríguez Martínez,45.0,75.0,81.0
11020,María Lucia  López Fernández,41.0,46.0,99.0
18989,Carlos Ana  Fernández Pérez,86.0,53.0,76.0
10230,María Carlos  Gómez Gómez,49.0,83.0,62.0
11528,Laura Laura  López González,65.0,93.0,49.0
16534,Luis Luis  Rodríguez Gómez,95.0,43.0,73.0
10018,Ana María  López Gómez,62.0,53.0,62.0
18086,Ana Luis  Fernández Martínez,88.0,68.0,81.0
15458,Sofía Carlos  Martínez González,82.0,86.0,79.0
13996,Laura María  Fernández Rodríguez,90.0,44.0,67.0
15328,María Carlos  González Fernández,65.0,61.0,46.0
11031,Sofía Juan  Martínez Gómez,48.0,97.0,48.0
13130,Luis Betsua  González Fernández,93.0,57.0,80.0
19298,Pedro Ana  González Fernández,99.0,76.0,42.0
13632,Pedro Luis  Gómez Gómez,83.0,86.0,48.0
13909,Isabel Juan  López González,100.0,69.0,52.0
12334,Luis Luis  Fernández Pérez,62.0,69.0,62.0
18896,Ana María  Fernández Pérez,85.0,81.0,54.0
17339,Ana Luis  Fernández López,60.0,86.0,73.0
11494,Sofía Lucia  Gómez Gómez,58.0,72.0,61.0
11318,Carlos Juan  Martínez Fernández,45.0,48.0,74.0
15243,Pedro Pedro  López Martínez,90.0,55.0,73.0
18322,Andrés Angel  Rodríguez Gómez,71.0,82.0,90.0
18016,Ana Laura  González Martínez,65.0,91.0,98.0
11786,María Laura  Gómez Martínez,85.0,81.0,59.0
14938,Ana Angel  González González,68.0,41.0,83.0
19031,Carlos María  Rodríguez González,95.0,44.0,59.0
14769,María Angel  Gómez Rodríguez,74.0,42.0,42.0
12044,Pedro Juan  Fernández Gómez,95.0,96.0,83.0
18969,Sofía Angel  Fernández Fernández,66.0,57.0,93.0
15451,María Laura  Martínez Martínez,90.0,48.0,58.0
18852,Ana Betsua  Martínez Martínez,76.0,57.0,55.0
13329,Luis Juan  Gómez Pérez,67.0,70.0,71.0
19882,Andrés Luis  Rodríguez López,75.0,56.0,74.0
18965,Sofía Betsua  Pérez Pérez,94.0,47.0,53.0
19627,Carlos Betsua  Gómez López,40.0,52.0,57.0
14712,Pedro Carlos  Gómez González,63.0,69.0,79.0
17290,Andrés Angel  Fernández López,75.0,74.0,95.0
11501,Sofía María  Gómez Pérez,64.0,60.0,78.0
19769,Pedro Ana  Fernández Martínez,96.0,92.0,65.0
16306,Sofía Ana  Pérez Fernández,46.0,54.0,81.0
15194,Ana Lucia  Pérez Pérez,70.0,78.0,74.0
19431,Pedro Carlos  López Rodríguez,67.0,89.0,42.0
13966,Andrés Ana  López Rodríguez,69.0,66.0,45.0
14756,Isabel Lucia  Rodríguez Martínez,59.0,66.0,54.0
13012,Luis Betsua  Pérez Gómez,43.0,59.0,53.0
13102,Laura María  González Fernández,75.0,71.0,73.0
13059,Carlos Luis  Fernández Gómez,84.0,101.0,51.0
10540,Leticia Betsua  González Pérez,58.0,93.0,95.0
14260,Ana Lucia  Rodríguez Martínez,63.0,94.0,88.0
17807,Ana Carlos  Gómez Martínez,93.0,84.0,82.0
11131,Ana Betsua  Martínez Martínez,97.0,80.0,65.0
11471,Ana Angel  Martínez Rodríguez,93.0,50.0,44.0
12133,Andrés Carlos  González González,61.0,87.0,91.0
12450,Laura Angel  Fernández Martínez,72.0,100.0,89.0
10633,María Juan  Martínez Fernández,70.0,67.0,84.0
11314,Ana María  Pérez Rodríguez,80.0,90.0,95.0
18857,Isabel Luis  López González,85.0,83.0,98.0
16410,María Lucia  González González,89.0,89.0,100.0
18594,Andrés Angel  González Gómez,73.0,53.0,89.0
14515,Laura Juan  López Pérez,80.0,83.0,88.0
18549,Sofía María  Rodríguez López,50.0,61.0,72.0
13858,Carlos Angel  Fernández Rodríguez,100.0,43.0,45.0
13525,Sofía Lucia  López Gómez,92.0,79.0,97.0
19663,María Betsua  López González,41.0,43.0,56.0
16871,Ana Juan  Gómez Martínez,76.0,60.0,58.0
19497,Andrés Carlos  Rodríguez Rodríguez,63.0,87.0,83.0
14509,Ana Lucia  López Fernández,59.0,56.0,56.0
17382,Isabel Laura  López Fernández,48.0,81.0,73.0
18071,Isabel María  Fernández Rodríguez,88.0,47.0,61.0
15855,Pedro Ana  Pérez Pérez,81.0,41.0,40.0
11349,Luis Laura  González Fernández,96.0,98.0,97.0
15313,Laura Betsua  López López,73.0,69.0,49.0
11889,Leticia Betsua  López López,69.0,89.0,50.0
17969,Sofía Ana  López Gómez,83.0,77.0,93.0
19618,Luis Ana  Gómez López,49.0,76.0,47.0
15493,Carlos Luis  González Pérez,52.0,91.0,93.0
13119,María Carlos  Rodríguez López,84.0,59.0,99.0
13981,Pedro Lucia  López Martínez,82.0,58.0,55.0
10265,Luis Carlos  González González,57.0,89.0,42.0
14440,Leticia Lucia  González Martínez,46.0,67.0,59.0
11919,Luis María  Gómez Fernández,57.0,77.0,53.0
13612,Leticia Ana  Rodríguez Martínez,40.0,96.0,43.0
16095,Ana Betsua  González López,101.0,94.0,79.0
12793,Laura Carlos  Rodríguez Martínez,60.0,51.0,51.0
15448,Laura Laura  Martínez Rodríguez,84.0,93.0,52.0
16981,Ana María  López López,79.0,76.0,86.0
11018,Luis Juan  Pérez Martínez,93.0,92.0,63.0
11648,Laura Pedro  González Fernández,96.0,63.0,46.0
12397,Luis Luis  Gómez González,90.0,94.0,89.0
13584,Andrés Lucia  Rodríguez Martínez,45.0,83.0,84.0
10741,María Luis  Fernández Fernández,42.0,64.0,89.0
19402,Carlos Juan  Fernández González,76.0,94.0,43.0
18752,Sofía Pedro  Fernández Gómez,55.0,74.0,92.0
19865,Luis Ana  Martínez Rodríguez,88.0,78.0,97.0
11212,Laura Carlos  Rodríguez González,92.0,95.0,80.0
10437,Luis Angel  Martínez Martínez,93.0,98.0,60.0
12038,Pedro Laura  Rodríguez Martínez,90.0,50.0,73.0
13088,Carlos Angel  Martínez Martínez,99.0,83.0,52.0
19934,Carlos Pedro  Martínez Martínez,101.0,76.0,66.0
19436,Laura Lucia  Gómez Fernández,45.0,101.0,94.0
11961,Leticia Pedro  Rodríguez Fernández,42.0,44.0,52.0
16409,Carlos Ana  Pérez Gómez,77.0,46.0,48.0
11499,Ana Carlos  Pérez López,44.0,56.0,84.0
16064,Sofía Angel  González Fernández,65.0,56.0,69.0
11901,Ana Pedro  López Pérez,100.0,84.0,97.0
10596,Ana Angel  López González,44.0,64.0,95.0
